"partner_country","region","subregion","net_weight"
"Albania","Europe","SouthernEurope",4782500
"Algeria","Africa","NorthernAfrica",124687400
"Antigua and Barbuda","Americas","Caribbean",7671200
"Argentina","Americas","SouthAmerica",82266400
"Armenia","Asia","WesternAsia",3057200
"Aruba","Americas","Caribbean",593700
"Australia","Oceania","AustraliaandNewZealand",342607300
"Austria","Europe","WesternEurope",388087400
"Azerbaijan","Asia","WesternAsia",16512100
"Bahrain","Asia","WesternAsia",11109900
"Barbados","Americas","Caribbean",523000
"Belarus","Europe","EasternEurope",93481800
"Belgium","Europe","WesternEurope",1194123600
"Bolivia (Plurinational State of)","Americas","SouthAmerica",12837300
"Bosnia Herzegovina","Europe","SouthernEurope",11678600
"Brazil","Americas","SouthAmerica",155261800
"Brunei Darussalam","Asia","South-EasternAsia",1845300
"Bulgaria","Europe","EasternEurope",65253100
"Burkina Faso","Africa","WesternAfrica",3664200
"Burundi","Africa","EasternAfrica",552100
"Cabo Verde","Africa","WesternAfrica",838200
"Cameroon","Africa","MiddleAfrica",3941700
"Canada","Americas","NorthernAmerica",815432900
"Central African Rep.","Africa","MiddleAfrica",160800
"Chile","Americas","SouthAmerica",68684300
"China","Asia","EasternAsia",1656097400
"China, Hong Kong SAR","Asia","EasternAsia",218587100
"Colombia","Americas","SouthAmerica",40892600
"Croatia","Europe","SouthernEurope",46669000
"Cyprus","Asia","WesternAsia",60105300
"Czech Rep.","Europe","EasternEurope",389891200
"Dominica","Americas","Caribbean",946700
"Dominican Rep.","Americas","Caribbean",57802000
"Ecuador","Americas","SouthAmerica",6448000
"Egypt","Africa","NorthernAfrica",146228100
"El Salvador","Americas","CentralAmerica",2740300
"Estonia","Europe","NorthernEurope",400269900
"Ethiopia","Africa","EasternAfrica",32943800
"Faeroe Isds","Europe","NorthernEurope",358043500
"Finland","Europe","NorthernEurope",2570877200
"France","Europe","WesternEurope",3535032500
"Georgia","Asia","WesternAsia",11140000
"Germany","Europe","WesternEurope",34161464400
"Greece","Europe","SouthernEurope",370566900
"Guatemala","Americas","CentralAmerica",3641300
"Hungary","Europe","EasternEurope",225307000
"Iceland","Europe","NorthernEurope",388940600
"India","Asia","SouthernAsia",342234100
"Indonesia","Asia","South-EasternAsia",82595200
"Ireland","Europe","NorthernEurope",996911500
"Israel","Asia","WesternAsia",134214900
"Italy","Europe","SouthernEurope",1764436900
"Japan","Asia","EasternAsia",715886700
"Jordan","Asia","WesternAsia",78139700
"Kazakhstan","Asia","CentralAsia",36082300
"Kenya","Africa","EasternAfrica",7420700
"Kyrgyzstan","Asia","CentralAsia",1215500
"Latvia","Europe","NorthernEurope",480152300
"Lithuania","Europe","NorthernEurope",542102400
"Luxembourg","Europe","WesternEurope",29313800
"Madagascar","Africa","EasternAfrica",900200
"Malaysia","Asia","South-EasternAsia",128585000
"Mali","Africa","WesternAfrica",602800
"Malta","Europe","SouthernEurope",33167000
"Mauritius","Africa","EasternAfrica",5872500
"Mexico","Americas","CentralAmerica",77593200
"Montenegro","Europe","SouthernEurope",828000
"Morocco","Africa","NorthernAfrica",250362400
"Mozambique","Africa","EasternAfrica",5708400
"Namibia","Africa","SouthernAfrica",13916000
"Netherlands","Europe","WesternEurope",8664676200
"New Caledonia","Oceania","Melanesia",4132300
"New Zealand","Oceania","AustraliaandNewZealand",38488000
"Nicaragua","Americas","CentralAmerica",1680200
"Nigeria","Africa","WesternAfrica",106691300
"Norway","Europe","NorthernEurope",6433015600
"Pakistan","Asia","SouthernAsia",67554100
"Panama","Americas","CentralAmerica",19228400
"Paraguay","Americas","SouthAmerica",1918300
"Peru","Americas","SouthAmerica",49711800
"Philippines","Asia","South-EasternAsia",142111100
"Poland","Europe","EasternEurope",3256824900
"Portugal","Europe","SouthernEurope",410142400
"Rep. of Korea","Asia","EasternAsia",315202800
"Rep. of Moldova","Europe","EasternEurope",10261800
"Romania","Europe","EasternEurope",380290300
"Russian Federation","Europe","EasternEurope",1879438700
"Rwanda","Africa","EasternAfrica",30915800
"Senegal","Africa","WesternAfrica",24517300
"Serbia","Europe","SouthernEurope",36449900
"Singapore","Asia","South-EasternAsia",117050300
"Slovakia","Europe","EasternEurope",172150700
"Slovenia","Europe","SouthernEurope",32256400
"South Africa","Africa","SouthernAfrica",119776300
"Spain","Europe","SouthernEurope",2073798200
"Sri Lanka","Asia","SouthernAsia",24516300
"State of Palestine","Asia","WesternAsia",1987900
"Sweden","Europe","NorthernEurope",26741186700
"Switzerland","Europe","WesternEurope",215542500
"TFYR of Macedonia","Europe","SouthernEurope",12338200
"Thailand","Asia","South-EasternAsia",154432800
"Togo","Africa","WesternAfrica",2737700
"Turkey","Asia","WesternAsia",1789088800
"Ukraine","Europe","EasternEurope",199754400
"United Kingdom","Europe","NorthernEurope",15678037600
"United Rep. of Tanzania","Africa","EasternAfrica",8757500
"Uruguay","Americas","SouthAmerica",85024000
"USA","Americas","NorthernAmerica",1392735600
"Zambia","Africa","EasternAfrica",973700
"Zimbabwe","Africa","EasternAfrica",3233100
